Store Name,Address,Road Address,Longitude,Latitude,Link,Category
EQL 성수점,서울특별시 성동구 성수동2가 273-13 EQL,서울특별시 성동구 연무장15길 11 EQL,1270589179,375428620,https://wch.eqlstore.com/main,"남성, 여성, 편집샵"
무신사 스탠다드 성수점,서울특별시 성동구 성수동2가 271-22 1F-2F,서울특별시 성동구 연무장길 83 1F-2F,1270586422,375416373,,"남성, 여성, 캐주얼, 미니멀, SPA"
디올성수,서울특별시 성동구 성수동2가 302-11,서울특별시 성동구 연무장5길 7,1270522633,375438830,,"남성, 여성, 명품"
무신사,서울특별시 성동구 성수동2가 277-47 무신사 캠퍼스 N1,서울특별시 성동구 아차산로13길 11 무신사 캠퍼스 N1,1270606202,375445062,http://musinsa.com,"남성, 여성, SPA"
로우로우 월드와이드서울,서울특별시 성동구 성수동2가 309-144,서울특별시 성동구 성수이로7길 24,1270543940,375414607,https://www.instagram.com/worldwideworld.kr,"남성, 여성, 캐주얼, 클래식"
휴먼 메이드 오프라인 스토어 서울,서울특별시 성동구 성수동2가 333-94 1층,서울특별시 성동구 성수이로7길 39 1층,1270532602,375425053,https://humanmade.seoul.kr/,"남성, 여성, 스트릿, 캐주얼"
조하리스토어,서울특별시 성동구 성수동2가 280-23 2층,서울특별시 성동구 아차산로13길 42 2층,1270622957,375468482,https://joharistore.imweb.me/,"남성, 여성, 스트릿, 고프코어, 편집샵"
VELVETTRUNK,서울특별시 성동구 성수동2가 316-15,서울특별시 성동구 연무장길 25 1F VELVETTRUNK,1270523717,375434336,http://www.instagram.com/velvettrunk_official,"남성, 여성, 스트릿, 편집샵"
032c Gallery Seoul,서울특별시 성동구 성수동2가 269-25 101호,서울특별시 성동구 성수이로10길 14 101호,1270568366,375401716,https://032c.kr/,"남성, 여성, 스트릿"
팹스타일,서울특별시 성동구 성수동2가 277-42 4층 팹스타일,서울특별시 성동구 성수이로22길 43 4층 팹스타일,1270618881,375437474,http://www.fabstyle.co.kr/,"남성, 여성, 명품, 편집샵"
뉴문&amp;아일랜드빈티지,서울특별시 성동구 성수동2가 331-8 B1층,서울특별시 성동구 뚝섬로 409 B1층,1270561606,375386829,https://www.instagram.com/vtg_island/profilecard/?igsh=a2MzZHI2bTJzY202,"남성, 여성, 빈티지"
